Profili IPE,G,h,b,tw,tf,r,A,hi,d,Ø,pmin,pmax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,,,,,,,,,,
HP 360 x 133,133,352,373.8,15.6,15.7,15.2,169.4,320.6,290.2,M27,104,268,2.14,16.11,37980,2158,2406,14.98,59.22,13680,731.9,1119,8.99,64.81,160.7,3864,,,,,,,,,,
HP 360 x 152,152,356.4,376,17.8,17.9,15.2,193.7,320.6,290.2,M27,106,270,2.16,14.18,43970,2468,2767,15.07,67.68,15880,844.5,1293,9.05,71.41,236.4,4543,,,,,,,,,,
HP 360 x 174,174,361.4,378.5,20.3,20.4,15.2,221.5,320.6,290.2,M27,110,272,2.17,12.48,51010,2823,3186,15.18,77.41,18460,975.6,1497,9.13,78.91,348.5,5360,,,,,,,,,,
HP 360 x 180,180,362.9,378.8,21.1,21.1,15.2,229.5,320.7,290.3,M27,110,272,2.17,12.06,53040,2923,3306,15.2,80.52,19140,1011,1552,9.13,81.11,387.2,5583,,,,,,,,,,
HP 400 x 122,122,348,390,14,14,15,155.9,320,290,M27,102,284,2.2,17.99,34770,1998,2212,14.93,52.89,13850,710.3,1082,9.42,59.57,118.7,3860,,,,,,,,,,
HP 400 x 140,140,352,392,16,16,15,178.6,320,290,M27,104,286,2.21,15.8,40270,2288,2547,15.02,60.49,16080,820.2,1252,9.49,65.57,175.3,4534,,,,,,,,,,
HP 400 x 158,158,356,394,18,18,15,201.4,320,290,M27,106,288,2.23,14.08,45940,2581,2888,15.1,68.17,18370,932.4,1425,9.55,71.57,248,5241,,,,,,,,,,
HP 400 x 176,176,360,396,20,20,15,224.3,320,290,M27,108,290,2.24,12.71,51770,2876,3235,15.19,75.93,20720,1047,1603,9.61,77.57,338.9,5982,,,,,,,,,,
HP 400 x 194,194,364,398,22,22,15,247.5,320,290,M27,110,292,2.25,11.58,57760,3174,3588,15.28,83.77,23150,1163,1784,9.67,83.57,450.2,6759,,,,,,,,,,
HP 400 x 213,213,368,400,24,24,15,270.7,320,290,M27,112,294,2.26,10.64,63920,3474,3947,15.37,91.69,25640,1282,1969,9.73,89.57,584.2,7574,,,,,,,,,,
HP 400 x 231,231,372,402,26,26,15,294.2,320,290,M27,114,296,2.27,9.85,70260,3777,4312,15.45,99.69,28200,1403,2158,9.79,95.57,743.1,8425,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili ad L a lati uguali,G,h = b,t,r1,r2,A,zs=ys,v,u1,u2,AL,AG,Iy=Iz,"Wel.y
Wel.z",iy=iz,Iu,iu,Iv,iv, Iyz,Ø,e min,e max,A net,,,,,,,,,,,,
,[kg/m], [mm], [mm], [mm], [mm],[cm2], [cm], [cm], [cm], [cm],[m2/m], [m2/t],[cm4],[cm3],[cm],[cm4],[cm],[cm4],[cm],[cm4],, [mm], [mm],[cm2],,,,,,,,,,,,
,12.2,100,8,12,6,15.51,2.74,7.07,3.87,3.52,0.39,32,144.8,19.94,3.06,230.2,3.85,59.47,1.96,-85.37,M27,48,53,13.11,,,,,,,,,,,,
L 100 x 100 x 8,12.2,100,8,12,6,15.51,2.74,7.07,3.87,3.52,0.39,32,144.8,19.94,3.06,230.2,3.85,59.47,1.96,-85.37,M27,48,53,13.11,,,,,,,,,,,,
L 100 x 100 x 10,15,100,10,12,6,19.2,2.82,7.07,3.99,3.54,0.39,25.92,176.7,24.62,3.04,280.7,3.83,72.65,1.95,-104,M27,50,53,16.15,,,,,,,,,,,,
L 100 x 100 x 12,17.8,100,12,12,6,22.71,2.9,7.07,4.11,3.57,0.39,21.86,206.7,29.12,3.02,328,3.8,85.42,1.94,-121.3,M27,52,53,19.11,,,,,,,,,,,,
L 110 x 110 x 10,16.6,110,10,13,6.5,21.18,3.06,7.78,4.33,3.88,0.429,25.79,238,29.99,3.35,378.2,4.23,97.72,2.15,-140.3,M27,50,62,18.18,,,,,,,,,,,,
L 110 x 110 x 12,19.7,110,12,13,6.5,25.14,3.15,7.78,4.45,3.91,0.429,21.73,279.1,35.54,3.33,443.3,4.2,115,2.14,-164.1,M27,52,62,21.54,,,,,,,,,,,,
L 120 x 120 x 10,18.2,120,10,13,6.5,23.18,3.31,8.49,4.69,4.24,0.469,25.76,312.9,36.03,3.67,497.6,4.63,128.3,2.35,-184.6,M27,50,72,20.18,,,,,,,,,,,,
L 120 x 120 x 11,19.9,120,11,13,6.5,25.37,3.36,8.49,4.75,4.25,0.469,23.54,340.6,39.41,3.66,541.5,4.62,139.8,2.35,-200.9,M27,51,72,22.07,,,,,,,,,,,,
L 120 x 120 x 12,21.6,120,12,13,6.5,27.54,3.4,8.49,4.8,4.26,0.469,21.69,367.7,42.73,3.65,584.3,4.61,151,2.34,-216.6,M27,52,72,23.94,,,,,,,,,,,,
L 120 x 120 x 13,23.3,120,13,13,6.5,29.69,3.44,8.49,4.86,4.28,0.469,20.12,394,46.01,3.64,625.9,4.59,162.2,2.34,-231.8,M27,53,72,25.79,,,,,,,,,,,,
L 120 x 120 x 15,26.6,120,15,13,6.5,33.93,3.51,8.49,4.97,4.31,0.469,17.6,444.9,52.43,3.62,705.6,4.56,184.2,2.33,-260.7,M27,55,72,29.43,,,,,,,,,,,,
L 130 x 130 x 12,23.5,130,12,14,7,30,3.64,9.19,5.15,4.6,0.508,21.59,472.2,50.44,3.97,750.6,5,193.7,2.54,-278.5,M27,52,82,26.37,,,,,,,,,,,,
L 140 x 140 x 10,21.4,140,10,15,7.5,27.24,3.79,9.9,5.37,4.93,0.547,25.59,504.4,49.43,4.3,802,5.43,206.8,2.76,-297.6,M27,51,92,24.24,,,,,,,,,,,,
L 140 x 140 x 13,27.4,140,13,15,7.5,34.95,3.92,9.9,5.55,4.96,0.547,19.94,638.5,63.37,4.27,1015,5.39,262,2.74,-376.6,M27,54,92,31.05,,,,,,,,,,,,
L 150 x 150 x 10,23,150,10,16,8,29.27,4.03,10.61,5.71,5.28,0.586,25.51,624,56.91,4.62,992,5.82,256,2.96,-368,M27,52,102,26.27,,,,,,,,,,,,
L 150 x 150 x 12,27.3,150,12,16,8,34.83,4.12,10.61,5.83,5.29,0.586,21.44,736.9,67.75,4.6,1172,5.8,302,2.94,-434.9,M27,54,102,31.23,,,,,,,,,,,,
L 150 x 150 x 14,31.6,150,14,16,8,40.31,4.21,10.61,5.95,5.32,0.586,18.53,845.4,78.33,4.58,1344,5.77,346.9,2.93,-498.5,M27,56,102,36.11,,,,,,,,,,,,
L 150 x 150 x 15,33.8,150,15,16,8,43.02,4.25,10.61,6.01,5.33,0.586,17.36,898.1,83.52,4.57,1427,5.76,368.9,2.93,-529.1,M27,57,102,38.52,,,,,,,,,,,,
L 150 x 150 x 18,40.1,150,18,16,8,51.03,4.37,10.61,6.17,5.37,0.586,14.63,1050,98.74,4.54,1666,5.71,433.8,2.92,-616.2,M27,61,102,45.63,,,,,,,,,,,,
L 160 x 160 x 14,33.9,160,14,17,8.5,43.15,4.45,11.31,6.29,5.66,0.625,18.46,1034,89.5,4.89,1644,6.17,423.8,3.13,-610,M27,57,111,38.95,,,,,,,,,,,,
L 160 x 160 x 15,36.2,160,15,17,8.5,46.06,4.49,11.31,6.35,5.67,0.625,17.3,1099,95.5,4.88,1747,6.16,450.8,3.13,-648,M27,58,111,41.56,,,,,,,,,,,,
L 160 x 160 x 16,38.4,160,16,17,8.5,48.95,4.53,11.31,6.41,5.69,0.625,16.28,1163,101.4,4.87,1848,6.14,477.6,3.12,-685.1,M27,60,111,44.15,,,,,,,,,,,,
L 160 x 160 x 17,40.7,160,17,17,8.5,51.82,4.57,11.31,6.46,5.7,0.625,15.37,1225,107.2,4.86,1947,6.13,504.1,3.12,-721.3,M27,61,111,46.72,,,,,,,,,,,,
L 180 x 180 x 13,35.7,180,13,18,9,45.46,4.9,12.73,6.93,6.35,0.705,19.74,1396,106.5,5.54,2221,6.99,571.6,3.55,-824.5,M27,57,131,41.56,,,,,,,,,,,,
L 180 x 180 x 14,38.3,180,14,18,9,48.79,4.94,12.73,6.99,6.36,0.705,18.4,1493,114.3,5.53,2375,6.98,611.3,3.54,-882,M27,58,131,44.59,,,,,,,,,,,,
L 180 x 180 x 15,40.9,180,15,18,9,52.1,4.98,12.73,7.05,6.37,0.705,17.23,1589,122,5.52,2527,6.96,650.5,3.53,-938,M27,59,131,47.6,,,,,,,,,,,,
L 180 x 180 x 16,43.5,180,16,18,9,55.39,5.02,12.73,7.1,6.38,0.705,16.2,1682,129.7,5.51,2675,6.95,689.4,3.53,-993,M27,61,131,50.59,,,,,,,,,,,,
L 180 x 180 x 17,46,180,17,18,9,58.66,5.06,12.73,7.16,6.4,0.705,15.3,1775,137.2,5.5,2822,6.94,727.8,3.52,-1047,M27,62,131,53.56,,,,,,,,,,,,
L 180 x 180 x 18,48.6,180,18,18,9,61.91,5.1,12.73,7.22,6.41,0.705,14.5,1866,144.7,5.49,2965,6.92,766,3.52,-1100,M27,63,131,56.51,,,,,,,,,,,,
L 180 x 180 x 19,51.1,180,19,18,9,65.14,5.14,12.73,7.27,6.42,0.705,13.78,1955,152.1,5.48,3106,6.91,803.8,3.51,-1151,M27,64,131,59.44,,,,,,,,,,,,
L 180 x 180 x 20,53.7,180,20,18,9,68.35,5.18,12.73,7.33,6.44,0.705,13.13,2043,159.4,5.47,3244,6.89,841.3,3.51,-1202,M27,65,131,62.35,,,,,,,,,,,,
L 200 x 200 x 15,45.6,200,15,18,9,58.1,5.48,14.14,7.75,7.08,0.785,17.2,2209,152.2,6.17,3516,7.78,903,3.94,-1306,M27,59,151,53.6,,,,,,,,,,,,
L 200 x 200 x 16,48.5,200,16,18,9,61.79,5.52,14.14,7.81,7.09,0.785,16.18,2341,161.7,6.16,3726,7.77,957,3.94,-1384,M27,61,151,56.99,,,,,,,,,,,,
L 200 x 200 x 17,51.4,200,17,18,9,65.46,5.56,14.14,7.87,7.1,0.785,15.27,2472,171.2,6.14,3932,7.75,1011,3.93,-1461,M27,62,151,60.36,,,,,,,,,,,,
L 200 x 200 x 18,54.3,200,18,18,9,69.11,5.6,14.14,7.93,7.12,0.785,14.46,2600,180.6,6.13,4135,7.74,1064,3.92,-1536,M27,63,151,63.71,,,,,,,,,,,,
L 200 x 200 x 19,57.1,200,19,18,9,72.74,5.64,14.14,7.98,7.13,0.785,13.74,2726,189.9,6.12,4335,7.72,1117,3.92,-1609,M27,64,151,67.04,,,,,,,,,,,,
L 200 x 200 x 20,59.9,200,20,18,9,76.35,5.68,14.14,8.04,7.15,0.785,13.09,2851,199.1,6.11,4532,7.7,1169,3.91,-1681,M27,65,151,70.35,,,,,,,,,,,,
L 200 x 200 x 21,62.8,200,21,18,9,79.94,5.72,14.14,8.09,7.16,0.785,12.5,2973,208.2,6.1,4725,7.69,1221,3.91,-1752,M27,66,151,73.64,,,,,,,,,,,,
L 200 x 200 x 22,65.6,200,22,18,9,83.51,5.76,14.14,8.15,7.18,0.785,11.97,3094,217.3,6.09,4915,7.67,1273,3.9,-1821,M27,67,151,76.91,,,,,,,,,,,,
L 200 x 200 x 23,68.3,200,23,18,9,87.06,5.8,14.14,8.2,7.19,0.785,11.48,3213,226.3,6.08,5102,7.66,1324,3.9,-1889,M27,68,151,80.16,,,,,,,,,,,,
L 200 x 200 x 24,71.1,200,24,18,9,90.59,5.84,14.14,8.26,7.21,0.785,11.03,3331,235.2,6.06,5286,7.64,1375,3.9,-1955,M27,69,151,83.39,,,,,,,,,,,,
L 200 x 200 x 25,73.9,200,25,18,9,94.1,5.88,14.14,8.31,7.23,0.785,10.62,3446,244,6.05,5467,7.62,1426,3.89,-2020,M27,70,151,86.6,,,,,,,,,,,,
L 200 x 200 x 26,76.6,200,26,18,9,97.59,5.91,14.14,8.36,7.25,0.785,10.24,3560,252.7,6.04,5645,7.61,1476,3.89,-2084,M27,71,151,89.79,,,,,,,,,,,,
L 250 x 250 x 20,75.6,250,20,18,9,96.35,6.93,17.68,9.81,8.91,0.985,13.02,5743,317.9,7.72,9144,9.74,2341,4.93,-3401,M27,40,240,96.35,,,,,,,,,,,,
L 250 x 250 x 21,79.2,250,21,18,9,100.94,6.97,17.68,9.86,8.93,0.985,12.43,5997,332.7,7.71,9548,9.73,2447,4.92,-3550,M27,41,246,100.94,,,,,,,,,,,,
L 250 x 250 x 22,82.8,250,22,18,9,105.51,7.01,17.68,9.92,8.94,0.985,11.89,6249,347.4,7.7,9946,9.71,2551,4.92,-3697,M27,42,246,105.51,,,,,,,,,,,,
L 250 x 250 x 23,86.4,250,23,18,9,110.06,7.05,17.68,9.97,8.96,0.985,11.4,6497,362,7.68,10339,9.69,2655,4.91,-3842,M27,43,246,110.06,,,,,,,,,,,,
L 250 x 250 x 24,90,250,24,18,9,114.59,7.09,17.68,10.03,8.98,0.985,10.95,6743,376.5,7.67,10727,9.68,2759,4.91,-3984,M27,44,246,114.59,,,,,,,,,,,,
L 250 x 250 x 25,93.5,250,25,18,9,119.1,7.13,17.68,10.08,8.99,0.985,10.53,6986,390.9,7.66,11110,9.66,2861,4.9,-4124,M27,45,246,119.1,,,,,,,,,,,,
L 250 x 250 x 26,97,250,26,18,9,123.59,7.17,17.68,10.13,9.01,0.985,10.15,7226,405.2,7.65,11488,9.64,2963,4.9,-4262,M27,46,246,123.59,,,,,,,,,,,,
L 250 x 250 x 27,100.5,250,27,18,9,128.06,7.2,17.68,10.19,9.03,0.985,9.79,7463,419.3,7.63,11861,9.62,3065,4.89,-4398,M27,47,246,128.06,,,,,,,,,,,,
L 250 x 250 x 28,104,250,28,18,9,132.51,7.24,17.68,10.24,9.04,0.985,9.47,7697,433.4,7.62,12229,9.61,3166,4.89,-4532,M27,48,246,132.51,,,,,,,,,,,,
L 203 x 203 x 19,57.9,203,19,8,4,73.6,5.76,14.35,8.15,7.38,0.805,13.94,2881,198.2,6.26,4588,7.9,1174,3.99,-1707,M27,64,155,67.9,,,,,,,,,,,,
L 203 x 203 x 22.2,67,203,22.2,8,4,85.27,5.88,14.35,8.32,7.44,0.805,12.03,3293,228.4,6.21,5236,7.84,1350,3.98,-1943,M27,67,155,78.61,,,,,,,,,,,,
L 203 x 203 x 25.4,75.9,203,25.4,8,4,96.74,6,14.35,8.48,7.5,0.805,10.6,3686,257.7,6.17,5850,7.78,1522,3.97,-2164,M27,70,155,89.12,,,,,,,,,,,,
L 203 x 203 x 28.6,84.7,203,28.6,8,4,108.01,6.11,14.35,8.65,7.57,0.805,9.5,4062,286.3,6.13,6432,7.72,1692,3.96,-2370,M27,73,155,99.43,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili ad L a lati disuguali,G,h,b,t,r1,r2,A,zs,ys,v1,v2,u1,u2,u 3,AL,AG,Iy,Wel.y,iy,Iz,Wel.z,iz,Iu,iu,Iv,iv, Iyz,a,Ala lunga,,,,Ala corta,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Øz,ez.min,ez.max,Az.net,Øy,ey.min,ey.max,Ay.net
,[kg/m], [mm], [mm], [mm], [mm], [mm],[cm2],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[m2/m], [m2/t],[cm4] ,[cm3],[cm],[cm4] ,[cm3],[cm],[cm4] ,[cm],[cm4] ,[cm],[cm4] ,[°],, [mm], [mm],[cm2],, [mm], [mm],[cm2]
,12.2,120,80,8,11,5.5,15.49,3.83,1.87,8.23,5.97,3.25,4.19,2.09,0.391,32.12,225.7,27.63,3.82,80.76,13.17,2.28,260,4.1,46.39,1.73,-78.5,23.65,M27,48,72,13.09,M16,38,51,14.05
L 120 x 80 x 8,12.2,120,80,8,11,5.5,15.49,3.83,1.87,8.23,5.97,3.25,4.19,2.09,0.391,32.12,225.7,27.63,3.82,80.76,13.17,2.28,260,4.1,46.39,1.73,-78.5,23.65,M27,48,72,13.09,M16,38,51,14.05
L 120 x 80 x 10,15,120,80,10,11,5.5,19.13,3.92,1.95,8.19,6.01,3.35,4.17,2.15,0.391,26.01,275.5,34.1,3.8,98.11,16.21,2.26,317,4.07,56.6,1.72,-95.34,23.53,M27,50,72,16.13,M16,40,51,17.33
L 120 x 80 x 12,17.8,120,80,12,11,5.5,22.69,4,2.03,8.14,6.04,3.45,4.16,2.2,0.391,21.93,322.8,40.37,3.77,114.33,19.14,2.24,370.7,4.04,66.46,1.71,-110.8,23.37,M27,52,72,19.09,M16,42,51,20.53
L 130 x 65 x 8,11.8,130,65,8,11,5.5,15.09,4.56,1.37,8.51,5.71,2.48,3.82,1.39,0.381,32.13,262.5,31.1,4.17,44.77,8.72,1.72,278.6,4.3,28.72,1.38,-61.25,14.68,M27,48,82,12.69,M12,35,42,13.97
L 130 x 65 x 10,14.6,130,65,10,11,5.5,18.63,4.65,1.45,8.44,5.77,2.57,3.78,1.46,0.381,26.02,320.5,38.39,4.15,54.2,10.73,1.71,339.6,4.27,35.02,1.37,-73.99,14.53,M27,50,82,15.63,M12,37,42,17.23
L 150 x 90 x 10,18.2,150,90,10,12,6,23.15,5,2.04,10.1,7.07,3.61,4.97,2.2,0.47,25.84,533.1,53.29,4.8,146.1,20.98,2.51,591.3,5.05,87.93,1.95,-160.9,19.87,M27,50,102,20.15,M24,47,49,20.55
L 150 x 90 x 11,19.9,150,90,11,12,6,25.34,5.04,2.08,10.07,7.09,3.66,4.95,2.23,0.47,23.61,580.7,58.3,4.79,158.7,22.91,2.5,643.7,5.04,95.71,1.94,-174.7,19.81,M27,51,102,22.04,M24,48,49,22.48
L 150 x 100 x 10,19,150,100,10,12,6,24.15,4.81,2.34,10.27,7.48,4.08,5.25,2.64,0.49,25.83,552.6,54.23,4.78,198.5,25.92,2.87,637.3,5.14,113.8,2.17,-192.8,23.72,M27,50,102,21.15,M27,50,53,21.15
L 150 x 100 x 12,22.5,150,100,12,12,6,28.71,4.9,2.42,10.23,7.52,4.18,5.23,2.7,0.49,21.72,650.5,64.38,4.76,232.6,30.69,2.85,749.3,5.11,133.9,2.16,-225.8,23.61,M27,52,102,25.11,M27,52,53,25.11
L 150 x 100 x 14,26.1,150,100,14,12,6,33.19,4.98,2.5,10.19,7.55,4.28,5.22,2.75,0.49,18.79,744.4,74.27,4.74,264.9,35.32,2.82,855.9,5.08,153.4,2.15,-256.8,23.48,M27,54,102,28.99,M24,51,59,29.55
L 160 x 80 x 10,18.2,160,80,10,13,6.5,23.18,5.63,1.69,10.46,7.04,3.06,4.7,1.73,0.469,25.76,611.3,58.94,5.14,104.4,16.55,2.12,648.7,5.29,67.01,1.7,-142.7,14.69,M27,50,111,20.18,M16,40,51,21.38
L 160 x 80 x 12,21.6,160,80,12,13,6.5,27.54,5.72,1.77,10.4,7.1,3.15,4.66,1.8,0.469,21.69,719.5,69.98,5.11,122,19.59,2.1,762.8,5.26,78.77,1.69,-166.5,14.57,M27,52,111,23.94,M16,42,51,25.38
L 200 x 100 x 10,23,200,100,10,15,7.5,29.24,6.93,2.01,13.15,8.74,3.72,5.94,2.09,0.587,25.58,1219,93.24,6.46,210.3,26.33,2.68,1294,6.65,134.5,2.14,-286.8,14.82,M27,54,150,26.24,M27,51,53,26.24
L 200 x 100 x 12,27.3,200,100,12,15,7.5,34.8,7.03,2.1,13.08,8.81,3.82,5.89,2.17,0.587,21.49,1440,111,6.43,247.2,31.28,2.67,1529,6.63,158.5,2.13,-337.3,14.74,M27,54,150,31.2,M27,53,53,31.2
L 200 x 100 x 14,31.6,200,100,14,15,7.5,40.28,7.12,2.18,13.01,8.86,3.91,5.85,2.24,0.587,18.57,1654,128.4,6.41,282.2,36.08,2.65,1755,6.6,181.7,2.12,-384.8,14.65,M27,55,151,36.08,M24,52,59,36.64
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili UPE,G,h,b,tw,tf,r,A,hi,d,Ø,emin,emax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,ys,ym,,,,,,,,
,[kg/m], [mm], [mm], [mm], [mm], [mm],[cm2], [mm], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6],[cm],[cm],,,,,,,,
,72.2,400,115,13.5,18,18,91.9,364,328,M 27,57,70,1.22,16.87,20980,1049,1263,15.11,56.2,1045,122.6,191.4,3.37,42,79.14,259,2.98,6.06,,,,,,,,
UPE 80,7.9,80,50,4,7,10,10.1,66,46,-,-,-,0.34,43.45,107.2,26.8,31.23,3.26,4.05,25.41,7.98,14.28,1.59,16.9,1.47,0.22,1.82,3.71,,,,,,,,
UPE 100,9.82,100,55,4.5,7.5,10,12.5,85,65,M 12,35,36,0.4,41,206.9,41.37,48.01,4.07,5.34,38.21,10.63,19.34,1.75,17.9,2.01,0.53,1.91,3.93,,,,,,,,
UPE 120,12.1,120,60,5,8,12,15.4,104,80,M 12,35,41,0.46,37.98,363.5,60.58,70.33,4.86,7.18,55.4,13.79,25.28,1.9,20,2.9,1.12,1.98,4.12,,,,,,,,
UPE 140,14.5,140,65,5,9,12,18.4,122,98,M 16,35,38,0.52,35.95,599.5,85.64,98.84,5.71,8.25,78.7,18.19,33.22,2.07,21,4.05,2.2,2.17,4.54,,,,,,,,
UPE 160,17,160,70,5.5,9.5,12,21.7,141,117,M 16,36,43,0.58,34.01,911.1,113.9,131.6,6.48,10.04,106.8,22.58,41.49,2.22,22,5.2,3.96,2.27,4.76,,,,,,,,
UPE 180,19.7,180,75,5.5,10.5,12,25.1,159,135,M 16,36,48,0.64,32.4,1353,150.4,173,7.34,11.2,143.7,28.56,52.3,2.39,23,6.99,6.81,2.47,5.19,,,,,,,,
UPE 200,22.8,200,80,6,11,13,29,178,152,M 20,46,47,0.7,30.6,1909,190.9,220.1,8.11,13.5,187.3,34.43,63.28,2.54,24.6,8.89,11,2.56,5.41,,,,,,,,
UPE 220,26.6,220,85,6.5,12,13,33.9,196,170,M 22,47,49,0.76,28.43,2682,243.9,281.5,8.9,15.81,246.4,42.51,78.25,2.7,26.1,12.05,17.61,2.7,5.7,,,,,,,,
UPE 240,30.2,240,90,7,12.5,15,38.5,215,185,M 24,47,51,0.81,26.89,3599,299.9,346.9,9.67,18.77,310.9,50.08,92.18,2.84,28.3,15.14,26.42,2.79,5.91,,,,,,,,
UPE 270,35.2,270,95,7.5,13.5,15,44.8,243,213,M 27,48,50,0.89,25.34,5255,389.2,451.1,10.83,22.23,401,60.69,111.6,2.99,29.8,19.91,43.55,2.89,6.14,,,,,,,,
UPE 300,44.4,300,100,9.5,15,15,56.6,270,240,M 27,50,55,0.97,21.78,7823,521.5,613.4,11.76,30.29,537.7,75.58,136.6,3.08,33.3,31.52,72.66,2.89,6.03,,,,,,,,
UPE 330,53.2,330,105,11,16,18,67.8,298,262,M 27,54,60,1.04,19.6,11010,667.1,791.9,12.74,38.81,681.5,89.66,156.2,3.17,37.5,45.18,111.8,2.9,6,,,,,,,,
UPE 360,61.2,360,110,12,17,18,77.9,326,290,M 27,55,65,1.12,18.32,14830,823.6,982.3,13.79,45.61,843.7,105.1,177.8,3.29,39.5,58.49,166.4,2.97,6.12,,,,,,,,
UPE 400,72.2,400,115,13.5,18,18,91.9,364,328,M 27,57,70,1.22,16.87,20980,1049,1263,15.11,56.2,1045,122.6,191.4,3.37,42,79.14,259,2.98,6.06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proili UPN,G,h,b,tw,tf,r1,r2,A,d,Ø,emin,emax,AL,AG,Iy,Wel.y,Wpl.y,iy,Avz,Iz,Wel.z,Wpl.z, iz,ss,It,Iwx10-3,ys,ym,,,,,,,,
,[kg/m], [mm], [mm], [mm], [mm], [mm], [mm],[cm2], [mm],, [mm], [mm],[m2/m], [m2/t],[cm4] ,[cm3],[cm3],[cm],[cm2],[cm4] ,[cm3],[cm3],[cm], [mm],[cm4] ,[cm6],[cm],[cm],,,,,,,,
,71.8,400,110,14,18,18,9,91.5,324,M27,61,62,1.182,16.46,20350,1020,1240,14.9,58.55,846,102,190,3.04,44,81.6,221,2.65,5.11,,,,,,,,
UPN 100,10.6,100,50,6,8.5,8.5,4.5,13.5,64,-,-,-,0.372,35.1,206,41.2,49,3.91,6.46,29.3,8.49,16.2,1.47,20.3,2.81,0.41,1.55,2.93,,,,,,,,
UPN 120,13.4,120,55,7,9,9,4.5,17,82,-,-,-,0.434,32.52,364,60.7,72.6,4.62,8.8,43.2,11.1,21.2,1.59,22.2,4.15,0.9,1.6,3.03,,,,,,,,
UPN 140,16,140,60,7,10,10,5,20.4,98,M12,33,37,0.489,30.54,605,86.4,103,5.45,10.41,62.7,14.8,28.3,1.75,23.9,5.68,1.8,1.75,3.37,,,,,,,,
UPN 160,18.8,160,65,7.5,10.5,10.5,5.5,24,115,M12,34,42,0.546,28.98,925,116,138,6.21,12.6,85.3,18.3,35.2,1.89,25.3,7.39,3.26,1.84,3.56,,,,,,,,
UPN 180,22,180,70,8,11,11,5.5,28,133,M16,38,41,0.611,27.8,1350,150,179,6.95,15.09,114,22.4,42.9,2.02,26.7,9.55,5.57,1.92,3.75,,,,,,,,
UPN 200,25.3,200,75,8.5,11.5,11.5,6,32.2,151,M16,39,46,0.661,26.15,1910,191,228,7.7,17.71,148,27,51.8,2.14,28.1,11.9,9.07,2.01,3.94,,,,,,,,
UPN 220,29.4,220,80,9,12.5,12.5,6.5,37.4,167,M16,40,51,0.718,24.46,2690,245,292,8.48,20.62,197,33.6,64.1,2.3,30.3,16,14.6,2.14,4.2,,,,,,,,
UPN 240,33.2,240,85,9.5,13,13,6.5,42.3,184,M20,46,50,0.775,23.34,3600,300,358,9.22,23.71,248,39.6,75.7,2.42,31.7,19.7,22.1,2.23,4.39,,,,,,,,
UPN 260,37.9,260,90,10,14,14,7,48.3,200,M22,50,52,0.834,22,4820,371,442,9.99,27.12,317,47.7,91.6,2.56,33.9,25.5,33.3,2.36,4.66,,,,,,,,
UPN 280,41.8,280,95,10,15,15,7.5,53.3,216,M22,52,57,0.89,21.27,6280,448,532,10.9,29.28,399,57.2,109,2.74,35.6,31,48.5,2.53,5.02,,,,,,,,
UPN 300,46.2,300,100,10,16,16,8,58.8,232,M24,55,59,0.95,20.58,8030,535,632,11.7,31.77,495,67.8,130,2.9,37.3,37.4,69.1,2.7,5.41,,,,,,,,
UPN 320,59.5,320,100,14,17.5,17.5,8.75,75.8,246,M22,58,62,0.982,16.5,10870,679,826,12.1,47.11,597,80.6,152,2.81,43,66.7,96.1,2.6,4.82,,,,,,,,
UPN 350,60.6,350,100,14,16,16,8,77.3,282,M22,56,62,1.047,17.25,12840,734,918,12.9,50.84,570,75,143,2.72,40.7,61.2,114,2.4,4.45,,,,,,,,
UPN 380,63.1,380,102,13.5,16,16,8,80.4,313,M24,59,60,1.11,17.59,15760,829,1014,14,53.23,615,78.7,148,2.77,40.3,59.1,146,2.38,4.58,,,,,,,,
UPN 400,71.8,400,110,14,18,18,9,91.5,324,M27,61,62,1.182,16.46,20350,1020,1240,14.9,58.55,846,102,190,3.04,44,81.6,221,2.65,5.11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profili IFB,,bp x tp,,Type,G,heff,b,tw,tf,r,A,Iy,Wel.y,z1,z2,,,,,,,,,,,,,,,,,,,,,
,,,,,[kg/m],[mm],[mm],[mm],[mm],[mm],[cm2],[cm4] ,[cm3],[cm],[cm],,,,,,,,,,,,,,,,,,,,,
